"dispnum","dispnum4","ccode","stabb","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version"
1246,-9,315,"CZE",12,10,1938,2,11,1938,0,0,0,-9,-9,-9,10,3,1,"gml-2.1"
1247,-9,310,"HUN",15,3,1939,30,3,1939,0,0,0,-9,0,0,13,4,1,"gml-2.1"
1247,-9,360,"ROM",15,3,1939,30,3,1939,1,1,1,-9,0,0,10,3,1,"gml-2.1"
1249,-9,350,"GRC",-9,8,1909,-9,8,1909,0,1,1,-9,0,0,0,1,1,"gml-2.1"
1249,-9,640,"TUR",-9,8,1909,-9,8,1909,1,0,0,-9,0,0,7,3,1,"gml-2.1"
1250,-9,345,"YUG",30,9,1912,19,4,1913,1,1,1,-9,6,-9,20,5,0,"gml-2.1"
1250,-9,350,"GRC",30,9,1912,19,4,1913,1,1,1,-9,6,-9,20,5,0,"gml-2.1"
1250,-9,355,"BUL",3,9,1912,19,4,1913,1,1,1,-9,6,-9,20,5,1,"gml-2.1"
1250,-9,640,"TUR",3,9,1912,19,4,1913,0,0,0,-9,6,-9,20,5,1,"gml-2.1"
1251,-9,345,"YUG",18,4,1913,10,8,1913,0,1,1,-9,6,-9,20,5,1,"gml-2.1"
1251,-9,350,"GRC",28,4,1913,30,7,1913,0,1,1,-9,6,-9,20,5,0,"gml-2.1"
1251,-9,355,"BUL",18,4,1913,10,8,1913,1,0,0,-9,6,-9,20,5,1,"gml-2.1"
1251,-9,360,"ROM",28,6,1913,30,7,1913,0,1,1,-9,6,-9,20,5,0,"gml-2.1"
1251,-9,640,"TUR",15,7,1913,10,8,1913,0,1,1,-9,6,-9,20,5,0,"gml-2.1"
1257,-9,360,"ROM",2,1,1918,9,3,1918,1,1,1,-9,-9,-9,17,4,1,"gml-2.1"
1257,-9,365,"RUS",2,1,1918,9,3,1918,0,0,0,-9,-9,-9,17,4,1,"gml-2.1"
1262,-9,220,"FRN",15,9,1918,15,3,1919,1,0,0,-9,0,0,14,4,1,"gml-2.1"
1262,-9,325,"ITA",15,9,1918,15,3,1919,1,1,1,-9,0,0,14,4,1,"gml-2.1"
1262,-9,339,"ALB",15,9,1918,15,3,1919,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1262,-9,345,"YUG",15,9,1918,15,3,1919,1,1,1,-9,0,0,14,4,1,"gml-2.1"
1263,-9,345,"YUG",6,11,1918,13,11,1918,1,0,0,-9,1,-9,14,4,1,"gml-2.1"
1263,-9,360,"ROM",6,11,1918,13,11,1918,0,0,0,-9,1,-9,14,4,1,"gml-2.1"
1265,-9,200,"UKG",20,3,1919,4,8,1919,1,1,1,-9,0,0,14,4,1,"gml-2.1"
1265,-9,220,"FRN",20,3,1919,18,8,1919,1,1,1,-9,-9,-9,17,4,1,"gml-2.1"
1265,-9,310,"HUN",20,3,1919,18,8,1919,0,0,0,-9,6,-9,20,5,1,"gml-2.1"
1265,-9,315,"CZE",28,3,1919,18,8,1919,1,1,1,-9,6,-9,20,5,0,"gml-2.1"
1265,-9,325,"ITA",20,3,1919,18,8,1919,1,0,0,-9,0,0,14,4,1,"gml-2.1"
1265,-9,345,"YUG",24,3,1919,18,8,1919,1,1,1,-9,-9,-9,18,4,0,"gml-2.1"
1265,-9,360,"ROM",10,4,1919,18,8,1919,1,1,1,-9,6,-9,20,5,0,"gml-2.1"
1268,-9,290,"POL",23,1,1919,3,2,1919,0,1,1,-9,-9,-9,17,4,1,"gml-2.1"
1268,-9,315,"CZE",23,1,1919,3,2,1919,1,1,1,-9,-9,-9,17,4,1,"gml-2.1"
1269,-9,200,"UKG",18,6,1919,15,12,1919,0,0,0,-9,0,0,16,4,0,"gml-2.1"
1269,-9,255,"GMY",8,3,1919,15,12,1919,1,1,1,-9,-9,-9,14,4,1,"gml-2.1"
1269,-9,290,"POL",-9,6,1919,15,12,1919,0,0,0,-9,-9,-9,16,4,0,"gml-2.1"
1269,-9,366,"EST",8,6,1919,15,12,1919,0,0,0,-9,-9,-9,16,4,0,"gml-2.1"
1269,-9,367,"LAT",8,3,1919,15,12,1919,0,0,0,-9,-9,-9,16,4,1,"gml-2.1"
1270,-9,350,"GRC",4,5,1919,11,10,1922,1,1,1,-9,6,-9,20,5,1,"gml-2.1"
1270,-9,640,"TUR",4,5,1919,11,10,1922,0,0,0,-9,6,-9,20,5,1,"gml-2.1"
1272,-9,290,"POL",4,4,1919,29,11,1920,1,1,1,-9,5,-9,20,5,1,"gml-2.1"
1272,-9,367,"LAT",4,4,1919,5,11,1920,0,0,0,-9,0,0,10,3,0,"gml-2.1"
1272,-9,368,"LIT",4,4,1919,29,11,1920,0,0,0,-9,5,-9,20,5,1,"gml-2.1"
1273,-9,255,"GMY",20,3,1921,20,10,1921,1,0,0,-9,-9,-9,17,4,1,"gml-2.1"
1273,-9,290,"POL",20,3,1921,20,10,1921,0,1,1,-9,-9,-9,17,4,1,"gml-2.1"
1274,-9,355,"BUL",17,10,1908,19,4,1909,0,0,0,-9,0,0,7,3,1,"gml-2.1"
1274,-9,640,"TUR",17,10,1908,19,4,1909,1,1,1,-9,0,0,16,4,1,"gml-2.1"
1279,-9,350,"GRC",25,12,1963,10,8,1964,0,0,0,-9,1,-9,7,3,1,"gml-2.1"
1279,-9,640,"TUR",25,12,1963,10,8,1964,1,1,2,-9,1,-9,16,4,1,"gml-2.1"
1280,-9,350,"GRC",17,11,1967,1,12,1967,0,0,0,-9,0,0,11,3,1,"gml-2.1"
1280,-9,352,"CYP",17,11,1967,1,12,1967,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1280,-9,640,"TUR",17,11,1967,1,12,1967,1,1,2,-9,0,0,11,3,1,"gml-2.1"
1284,-9,339,"ALB",28,7,1948,13,8,1948,0,0,0,-9,0,0,16,4,1,"gml-2.1"
1284,-9,350,"GRC",28,7,1948,13,8,1948,1,0,0,-9,1,-9,7,3,1,"gml-2.1"
1285,-9,339,"ALB",6,8,1949,10,8,1949,0,0,0,-9,2,-9,17,4,1,"gml-2.1"
1285,-9,350,"GRC",6,8,1949,10,8,1949,1,0,0,-9,2,-9,17,4,1,"gml-2.1"
1286,-9,2,"USA",9,4,1951,14,12,1951,0,0,0,-9,0,0,7,3,0,"gml-2.1"
1286,-9,310,"HUN",-9,9,1949,14,12,1951,1,1,2,-9,1,-9,16,4,0,"gml-2.1"
1286,-9,345,"YUG",9,8,1949,14,12,1951,0,0,0,-9,2,-9,17,4,1,"gml-2.1"
1286,-9,355,"BUL",15,5,1950,14,12,1951,1,1,2,-9,1,-9,17,4,0,"gml-2.1"
1286,-9,360,"ROM",-9,10,1949,14,12,1951,1,1,2,-9,1,-9,16,4,0,"gml-2.1"
1286,-9,365,"RUS",9,8,1949,14,12,1951,1,1,2,-9,0,0,15,4,1,"gml-2.1"
1289,-9,350,"GRC",3,6,1976,1,9,1976,1,1,1,-9,0,0,10,3,1,"gml-2.1"
1289,-9,640,"TUR",3,6,1976,1,9,1976,0,1,1,-9,0,0,0,1,1,"gml-2.1"
1290,-9,350,"GRC",8,1,1975,8,1,1975,1,1,2,-9,0,0,1,2,1,"gml-2.1"
1290,-9,640,"TUR",8,1,1975,8,1,1975,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1292,-9,350,"GRC",28,3,1974,5,6,1974,0,1,1,-9,0,0,11,3,1,"gml-2.1"
1292,-9,640,"TUR",28,3,1974,5,6,1974,1,1,1,-9,0,0,11,3,1,"gml-2.1"
1293,-9,350,"GRC",20,7,1974,16,8,1974,0,0,0,-9,0,0,17,4,0,"gml-2.1"
1293,-9,352,"CYP",15,7,1974,16,8,1974,0,0,0,-9,5,-9,20,5,1,"gml-2.1"
1293,-9,640,"TUR",15,7,1974,16,8,1974,1,1,2,-9,6,-9,20,5,1,"gml-2.1"
1295,-9,350,"GRC",27,7,1952,13,8,1952,0,0,0,-9,1,-9,17,4,1,"gml-2.1"
1295,-9,355,"BUL",27,7,1952,13,8,1952,1,1,1,-9,0,0,17,4,1,"gml-2.1"
1300,-9,750,"IND",7,5,1955,7,5,1955,0,0,0,-9,1,-9,17,4,1,"gml-2.1"
1300,-9,770,"PAK",7,5,1955,7,5,1955,1,1,1,-9,1,-9,17,4,1,"gml-2.1"
1301,-9,750,"IND",16,2,1956,18,3,1956,0,0,0,-9,1,1,17,4,1,"gml-2.1"
1301,-9,770,"PAK",16,2,1956,18,3,1956,1,1,1,-9,1,-9,17,4,1,"gml-2.1"
1302,-9,750,"IND",11,3,1958,26,8,1959,0,0,0,-9,2,-9,17,4,1,"gml-2.1"
1302,-9,770,"PAK",11,3,1958,26,8,1959,1,1,1,-9,2,-9,17,4,1,"gml-2.1"
1303,-9,700,"AFG",14,9,1960,7,10,1960,1,1,1,-9,0,0,17,4,1,"gml-2.1"
1303,-9,770,"PAK",14,9,1960,7,10,1960,0,0,0,-9,0,0,17,4,1,"gml-2.1"
1304,-9,700,"AFG",19,5,1961,11,6,1961,1,1,1,-9,2,-9,17,4,1,"gml-2.1"
1304,-9,770,"PAK",19,5,1961,11,6,1961,0,0,0,-9,2,-9,17,4,1,"gml-2.1"
1305,-9,700,"AFG",4,5,1955,9,9,1955,1,1,1,-9,0,0,10,3,1,"gml-2.1"
1305,-9,770,"PAK",4,5,1955,9,9,1955,0,0,0,-9,0,0,3,2,1,"gml-2.1"
1306,-9,700,"AFG",17,6,1950,5,10,1950,1,1,1,-9,2,-9,17,4,1,"gml-2.1"
1306,-9,770,"PAK",17,6,1950,5,10,1950,0,0,0,-9,2,-9,17,4,1,"gml-2.1"
1307,-9,700,"AFG",27,3,1949,30,3,1949,1,1,1,-9,0,0,11,3,1,"gml-2.1"
1307,-9,770,"PAK",27,3,1949,30,3,1949,0,0,0,-9,0,0,16,4,1,"gml-2.1"
1308,-9,750,"IND",23,2,1950,11,6,1950,1,0,0,-9,1,-9,17,4,1,"gml-2.1"
1308,-9,770,"PAK",23,2,1950,11,6,1950,0,1,1,-9,1,-9,17,4,1,"gml-2.1"
1310,-9,750,"IND",17,9,1962,4,11,1962,0,0,0,-9,1,-9,17,4,1,"gml-2.1"
1310,-9,770,"PAK",17,9,1962,4,11,1962,1,1,1,-9,1,-9,17,4,1,"gml-2.1"
1312,-9,750,"IND",21,2,1964,10,1,1966,0,0,0,-9,6,-9,20,5,1,"gml-2.1"
1312,-9,770,"PAK",21,2,1964,10,1,1966,1,1,1,-9,6,-9,20,5,1,"gml-2.1"
1317,-9,750,"IND",-9,7,1963,-9,1,1964,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1317,-9,770,"PAK",-9,7,1963,-9,1,1964,1,1,1,-9,0,0,14,4,1,"gml-2.1"
1319,-9,490,"DRC",5,2,1965,17,3,1965,0,1,2,-9,0,0,16,4,1,"gml-2.1"
1319,-9,500,"UGA",5,2,1965,17,3,1965,1,0,0,-9,1,-9,16,4,1,"gml-2.1"
1321,-9,211,"BEL",5,7,1960,2,9,1960,1,1,2,-9,2,-9,17,4,1,"gml-2.1"
1321,-9,490,"DRC",5,7,1960,2,9,1960,0,0,0,-9,2,-9,17,4,1,"gml-2.1"
1322,-9,483,"CHA",12,9,1966,17,9,1966,1,1,2,-9,0,0,16,4,1,"gml-2.1"
1322,-9,625,"SUD",12,9,1966,17,9,1966,0,0,0,-9,0,0,8,3,1,"gml-2.1"
1323,-9,482,"CEN",1,1,1969,3,2,1969,1,1,4,-9,0,0,13,4,1,"gml-2.1"
1323,-9,483,"CHA",1,1,1969,3,2,1969,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1324,-9,490,"DRC",17,10,1966,17,10,1966,1,1,3,-9,0,0,1,2,1,"gml-2.1"
1324,-9,520,"SOM",17,10,1966,17,10,1966,1,1,3,-9,0,0,1,2,1,"gml-2.1"
1324,-9,552,"ZIM",17,10,1966,17,10,1966,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1324,-9,580,"MAG",17,10,1966,17,10,1966,1,1,3,-9,0,0,1,2,1,"gml-2.1"
1325,-9,484,"CON",23,11,1969,16,6,1970,0,0,0,-9,0,0,8,3,1,"gml-2.1"
1325,-9,490,"DRC",23,11,1969,16,6,1970,1,1,2,-9,0,0,7,3,1,"gml-2.1"
1326,-9,235,"POR",5,6,1969,-9,7,1969,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1326,-9,484,"CON",5,6,1969,-9,7,1969,1,0,0,-9,0,0,15,4,1,"gml-2.1"
1328,-9,484,"CON",-9,1,1965,-9,1,1965,0,1,2,-9,0,0,0,1,1,"gml-2.1"
1328,-9,490,"DRC",-9,1,1965,-9,1,1965,1,0,0,-9,0,0,7,3,1,"gml-2.1"
1331,-9,230,"SPN",28,10,1975,21,11,1975,1,0,0,-9,0,0,8,3,1,"gml-2.1"
1331,-9,435,"MAA",28,10,1975,21,11,1975,0,0,0,-9,0,0,0,1,1,"gml-2.1"
