"dispnum3","incidnum3","stday","stmon","styear","endday","endmon","endyear","duration","tbi","fatality","fatalpre","action","hostlev","numa","revtype1","revtype2","version"
4552,4552016,24,6,2003,26,7,2003,33,10,1,-9,17,4,1,2,0,"gml-2.1"
4552,4552017,5,8,2003,5,8,2003,1,9,0,0,16,4,1,0,0,"gml-2.1"
4552,4552018,14,8,2003,14,8,2003,1,7,0,0,17,4,1,0,0,"gml-2.1"
4552,4552019,21,8,2003,21,8,2003,1,2,0,0,17,4,1,0,0,"gml-2.1"
4552,4552020,23,8,2003,23,8,2003,1,11,0,0,16,4,1,0,0,"gml-2.1"
4552,4552021,3,9,2003,6,9,2003,4,15,0,0,15,4,1,2,0,"gml-2.1"
4552,4552022,21,9,2003,21,9,2003,1,173,0,0,11,3,1,2,0,"gml-2.1"
4552,4552023,12,3,2004,12,3,2004,1,21,1,-9,17,4,1,0,0,"gml-2.1"
4552,4552024,2,4,2004,2,4,2004,1,53,1,-9,17,4,1,0,0,"gml-2.1"
4552,4552026,25,5,2004,25,5,2004,1,36,0,0,17,4,1,0,0,"gml-2.1"
4552,4552028,30,6,2004,6,7,2004,7,22,0,0,17,4,1,0,0,"gml-2.1"
4552,4552029,28,7,2004,28,7,2004,1,158,1,2,17,4,1,0,0,"gml-2.1"
4552,4552031,2,1,2005,5,1,2005,4,25,1,1,17,4,1,0,0,"gml-2.1"
4552,4552032,30,1,2005,30,1,2005,1,-9,1,-9,17,4,1,0,0,"gml-2.1"
4553,4553001,-9,2,2002,-9,2,2002,-9,-9,0,0,11,3,1,2,0,"gml-2.1"
4553,4553002,11,3,2002,11,3,2002,1,16,0,0,11,3,1,2,0,"gml-2.1"
4553,4553003,27,3,2002,27,3,2002,1,5,0,0,11,3,1,2,0,"gml-2.1"
4553,4553004,1,4,2002,1,4,2002,1,7,0,0,11,3,1,2,0,"gml-2.1"
4553,4553005,8,4,2002,8,4,2002,1,0,0,0,16,4,1,0,0,"gml-2.1"
4553,4553006,8,4,2002,8,4,2002,1,42,0,0,8,3,1,0,0,"gml-2.1"
4553,4553007,20,5,2002,20,5,2002,1,10,0,0,17,4,1,2,0,"gml-2.1"
4553,4553008,30,5,2002,30,5,2002,1,4,0,0,11,3,1,2,0,"gml-2.1"
4553,4553009,3,6,2002,3,6,2002,1,17,0,0,11,3,1,2,0,"gml-2.1"
